"Date","VIXSIM"
"1991-04-26",10017.4
"1991-04-29",10597.45
"1991-04-30",10580.05
"1991-05-01",10307.42
"1991-05-02",10162.41
"1991-05-03",10000
"1991-05-06",10394.43
"1991-05-07",10127.61
"1991-05-08",10313.23
"1991-05-09",9959.4
"1991-05-10",10174.01
"1991-05-13",10243.62
"1991-05-14",10440.84
"1991-05-15",10661.25
"1991-05-16",10000
"1991-05-17",9651.97
"1991-05-20",9918.79
"1991-05-21",9321.35
"1991-05-22",9373.55
"1991-05-23",9344.55
"1991-05-24",8834.11
"1991-05-28",9089.33
"1991-05-29",9222.74
"1991-05-30",9292.34
"1991-05-31",9240.14
"1991-06-03",9785.38
"1991-06-04",9379.35
"1991-06-05",9512.76
"1991-06-06",9820.19
"1991-06-07",9849.19
"1991-06-10",10133.41
"1991-06-11",10046.4
"1991-06-12",10278.42
"1991-06-13",9854.99
"1991-06-14",9269.14
"1991-06-17",8990.72
"1991-06-18",9361.95
"1991-06-19",10116.01
"1991-06-20",9715.78
"1991-06-21",9576.57
"1991-06-24",10603.25
"1991-06-25",10353.83
"1991-06-26",10429.23
"1991-06-27",10365.43
"1991-06-28",11339.91
"1991-07-01",10812.06
"1991-07-02",10226.22
"1991-07-03",11293.5
"1991-07-05",10643.85
"1991-07-08",11769.14
"1991-07-09",11461.72
"1991-07-10",11131.09
"1991-07-11",10087.01
"1991-07-12",10609.05
"1991-07-15",10313.23
"1991-07-16",10145.01
"1991-07-17",10162.41
"1991-07-18",9147.33
"1991-07-19",8990.72
"1991-07-22",9802.78
"1991-07-23",9617.17
"1991-07-24",9518.56
"1991-07-25",9129.93
"1991-07-26",8961.72
"1991-07-29",9089.33
"1991-07-30",8973.32
"1991-07-31",8805.1
"1991-08-01",8973.32
"1991-08-02",8851.51
"1991-08-05",9234.34
"1991-08-06",9013.92
"1991-08-07",9025.52
"1991-08-08",9269.14
"1991-08-09",8961.72
"1991-08-12",8851.51
"1991-08-13",8544.08
"1991-08-14",8752.9
"1991-08-15",8810.9
"1991-08-16",9286.54
"1991-08-19",12291.18
"1991-08-20",10939.68
"1991-08-21",9060.32
"1991-08-22",8462.88
"1991-08-23",8358.47
"1991-08-26",8590.49
"1991-08-27",8967.52
"1991-08-28",8880.51
"1991-08-29",8596.29
"1991-08-30",8387.47
"1991-09-03",9611.37
"1991-09-04",9965.2
"1991-09-05",10040.6
"1991-09-06",9721.58
"1991-09-09",10284.22
"1991-09-10",10568.45
"1991-09-11",10417.63
"1991-09-12",9402.55
"1991-09-13",10371.23
"1991-09-16",10336.43
"1991-09-17",10255.22
"1991-09-18",10185.61
"1991-09-19",10185.61
"1991-09-20",9907.19
"1991-09-23",9501.16
"1991-09-24",9303.94
"1991-09-25",9095.13
"1991-09-26",8903.71
"1991-09-27",9460.56
"1991-09-30",9193.74
"1991-10-01",8590.49
"1991-10-02",9170.53
"1991-10-03",9883.99
"1991-10-04",9066.13
"1991-10-07",10777.26
"1991-10-08",10330.63
"1991-10-09",10754.06
"1991-10-10",10324.83
"1991-10-11",10208.82
"1991-10-14",9692.58
"1991-10-15",9408.35
"1991-10-16",8613.69
"1991-10-17",9466.36
"1991-10-18",9205.34
"1991-10-21",9663.57
"1991-10-22",9599.77
"1991-10-23",9431.55
"1991-10-24",9060.32
"1991-10-25",9135.73
"1991-10-28",8961.72
"1991-10-29",9019.72
"1991-10-30",8967.52
"1991-10-31",8979.12
"1991-11-01",9048.72
"1991-11-04",9483.76
"1991-11-05",9559.16
"1991-11-06",9553.36
"1991-11-07",9263.34
"1991-11-08",8950.12
"1991-11-11",8636.89
"1991-11-12",8143.85
"1991-11-13",8091.65
"1991-11-14",8097.45
"1991-11-15",12285.38
"1991-11-18",10603.25
"1991-11-19",11798.14
"1991-11-20",11832.95
"1991-11-21",11084.69
"1991-11-22",12296.98
"1991-11-25",12714.62
"1991-11-26",11484.92
"1991-11-27",11508.12
"1991-11-29",11751.74
"1991-12-02",11705.34
"1991-12-03",11426.91
"1991-12-04",11334.11
"1991-12-05",11711.14
"1991-12-06",11044.08
"1991-12-09",11450.12
"1991-12-10",11537.12
"1991-12-11",11931.55
"1991-12-12",11067.29
"1991-12-13",10371.23
"1991-12-16",10220.42
"1991-12-17",10510.44
"1991-12-18",10313.23
"1991-12-19",10417.63
"1991-12-20",10237.82
"1991-12-23",9634.57
"1991-12-24",9089.33
"1991-12-26",8955.92
"1991-12-27",9106.73
"1991-12-30",10226.22
"1991-12-31",11200.7
"1992-01-02",10991.88
"1992-01-03",10875.87
"1992-01-06",10997.68
"1992-01-07",11154.29
"1992-01-08",10858.47
"1992-01-09",10997.68
"1992-01-10",10701.86
"1992-01-13",10446.64
"1992-01-14",9866.59
"1992-01-15",10087.01
"1992-01-16",10232.02
"1992-01-17",9466.36
"1992-01-20",9524.36
"1992-01-21",10394.43
"1992-01-22",9715.78
"1992-01-23",9547.56
"1992-01-24",9419.95
"1992-01-27",9669.37
"1992-01-28",10249.42
"1992-01-29",10220.42
"1992-01-30",10145.01
"1992-01-31",10092.81
"1992-02-03",10556.84
"1992-02-04",10417.63
"1992-02-05",10568.45
"1992-02-06",10899.07
"1992-02-07",10736.66
"1992-02-10",10765.66
"1992-02-11",10266.82
"1992-02-12",10075.41
"1992-02-13",10121.81
"1992-02-14",9878.19
"1992-02-18",10568.45
"1992-02-19",9953.6
"1992-02-20",9698.38
"1992-02-21",9785.38
"1992-02-24",9936.19
"1992-02-25",9483.76
"1992-02-26",9651.97
