"Date","SPYSIM","TLTSIM"
"1963-04-11",10125.19,10551.15
"1963-04-15",10173.33,10535.97
"1963-04-16",10181.81,10537.6
"1963-04-17",10150.61,10522.45
"1963-04-18",10147.34,10540.86
"1963-04-19",10198.42,10559.32
"1963-04-22",10209.83,10560.95
"1963-04-23",10244.75,10562.58
"1963-04-24",10273.79,10564.21
"1963-04-25",10280.79,10565.84
"1963-04-26",10273.11,10567.47
"1963-04-29",10266.89,10569.1
"1963-04-30",10290.06,10570.73
"1963-05-01",10316.16,10589.24
"1963-05-02",10346.67,10590.87
"1963-05-03",10327.23,10592.51
"1963-05-06",10254.91,10611.06
"1963-05-07",10242.82,10629.65
"1963-05-08",10327.68,10631.28
"1963-05-09",10378.75,10615.94
"1963-05-10",10404.85,10617.57
"1963-05-13",10400.11,10619.2
"1963-05-14",10361.57,10637.81
"1963-05-15",10395.02,10656.46
"1963-05-16",10369.71,10658.08
"1963-05-17",10376.71,10642.69
"1963-05-20",10329.36,10627.33
"1963-05-21",10356.93,10645.96
"1963-05-22",10358.06,10630.59
"1963-05-23",10353.32,10632.23
"1963-05-24",10342.69,10616.9
"1963-05-27",10321.79,10618.53
"1963-05-28",10343.48,10620.17
"1963-05-29",10391.62,10621.8
"1963-05-31",10461.78,10623.44
"1963-06-03",10446.75,10608.14
"1963-06-04",10449.35,10626.72
"1963-06-05",10425.51,10628.35
"1963-06-06",10433.98,10629.99
"1963-06-07",10410.14,10648.61
"1963-06-10",10342.23,10650.24
"1963-06-11",10356.58,10668.9
"1963-06-12",10413.52,10653.51
"1963-06-13",10388.21,10655.15
"1963-06-14",10392.28,10656.78
"1963-06-17",10349.34,10658.42
"1963-06-18",10360.75,10660.06
"1963-06-19",10372.16,10661.69
"1963-06-20",10361.54,10663.33
"1963-06-21",10397.62,10664.97
"1963-06-24",10391.26,10649.6
"1963-06-25",10368.62,10651.24
"1963-06-26",10276.42,10652.88
"1963-06-27",10227.14,10654.52
"1963-06-28",10272.58,10656.16
"1963-07-01",10198.14,10640.81
"1963-07-02",10287.99,10608.59
"1963-07-03",10360.07,10610.23
"1963-07-05",10402.55,10595
"1963-07-08",10332.55,10579.8
"1963-07-09",10377.99,10581.45
"1963-07-10",10356.83,10583.1
"1963-07-11",10338.64,10584.75
"1963-07-12",10321.92,10586.4
"1963-07-15",10257.84,10604.91
"1963-07-16",10250,10606.56
"1963-07-17",10219.96,10608.21
"1963-07-18",10155.88,10626.76
"1963-07-19",10136.21,10645.36
"1963-07-22",10070.65,10647
"1963-07-23",10073.17,10648.65
"1963-07-24",10128.97,10667.29
"1963-07-25",10127.06,10668.93
"1963-07-26",10169.54,10687.61
"1963-07-29",10189.82,10689.26
"1963-07-30",10275.22,10690.9
"1963-07-31",10259.98,10692.55
"1963-08-01",10252.14,10694.2
"1963-08-02",10287.22,10712.92
"1963-08-05",10348.94,10714.57
"1963-08-06",10418.06,10699.13
"1963-08-07",10388.02,10700.78
"1963-08-08",10397.94,10702.42
"1963-08-09",10467.06,10704.07
"1963-08-12",10484.38,10705.72
"1963-08-13",10515.02,10707.37
"1963-08-14",10557.49,10691.95
"1963-08-15",10604.41,10710.67
"1963-08-16",10621.73,10712.32
"1963-08-19",10615.37,10731.08
"1963-08-20",10607.53,10715.61
"1963-08-21",10595.25,10717.26
"1963-08-22",10633.29,10718.91
"1963-08-23",10666.89,10720.56
"1963-08-26",10690.12,10722.21
"1963-08-27",10633.45,10723.86
"1963-08-28",10711.44,10725.52
"1963-08-29",10730.24,10710.08
"1963-08-30",10781.59,10711.73
"1963-09-03",10806.31,10696.32
"1963-09-04",10804.39,10680.95
"1963-09-05",10858.7,10614.87
"1963-09-06",10836.06,10616.53
"1963-09-09",10798.63,10601.35
"1963-09-10",10860.34,10619.86
"1963-09-11",10892.45,10621.53
"1963-09-12",10886.1,10623.19
"1963-09-13",10890.09,10624.86
"1963-09-16",10876.34,10626.52
"1963-09-17",10884.77,10628.19
"1963-09-18",10838.46,10629.85
"1963-09-19",10901.65,10631.52
"1963-09-20",10913.94,10650.09
"1963-09-23",10864.91,10651.76
"1963-09-24",10917.14,10653.43
"1963-09-25",10857.69,10655.09
"1963-09-26",10766.98,10656.76
"1963-09-27",10747.73,10675.38
"1963-09-30",10685.31,10677.04
"1963-10-01",10764.34,10678.71
"1963-10-02",10777.85,10680.37
"1963-10-03",10858.36,10682.04
"1963-10-04",10862.94,10666.74
"1963-10-07",10842.21,10651.47
"1963-10-08",10828.92,10653.14
"1963-10-09",10721.83,10637.91
"1963-10-10",10772.57,10639.58
"1963-10-11",10784.59,10641.25
"1963-10-14",10790.66,10642.92
"1963-10-15",10807.15,10627.72
"1963-10-16",10893.61,10629.39
"1963-10-17",10938.39,10614.22
"1963-10-18",10948.92,10615.9
"1963-10-21",10959.46,10617.58
"1963-10-22",10898.53,10619.25
"1963-10-23",10906.08,10620.93
"1963-10-24",10949.37,10622.61
"1963-10-25",11059.65,10624.29
"1963-10-28",11131.23,10625.96
"1963-10-29",11129.85,10610.82
"1963-10-30",11033.19,10612.5
"1963-10-31",11066.05,10597.38
"1963-11-01",11040.85,10582.3
"1963-11-04",10985.88,10583.99
"1963-11-06",10892.2,10552.25
"1963-11-07",10931.02,10553.93
"1963-11-08",10977.28,10572.32
"1963-11-11",11002.7,10574.01
"1963-11-12",10961.13,10575.69
"1963-11-13",10971.66,10577.38
"1963-11-14",10922.64,10612.59
"1963-11-15",10834.92,10614.28
"1963-11-18",10759.11,10615.96
"1963-11-19",10771.13,10617.65
"1963-11-20",10870.98,10619.33
"1963-11-21",10732.65,10621.02
"1963-11-22",10435.02,10622.7
"1963-11-26",10848.99,10624.39
"1963-11-27",10831.24,10626.08
"1963-11-29",10978.73,10627.76
"1963-12-02",11044.34,10595.88
"1963-12-03",11039.99,10597.57
"1963-12-04",11068.38,10599.26
"1963-12-05",11141.44,10600.95
"1963-12-06",11101.36,10602.64
"1963-12-09",11097,10604.33
"1963-12-10",11103.07,10606.02
"1963-12-11",11091.27,10590.97
"1963-12-12",11094.36,10575.94
"1963-12-13",11118.28,10577.64
"1963-12-16",11155.61,10562.65
"1963-12-17",11222.71,10547.7
"1963-12-18",11207.93,10549.4
"1963-12-19",11175.3,10551.1
"1963-12-20",11158.14,10536.18
"1963-12-23",11089.15,10537.88
"1963-12-24",11114.8,10539.58
"1963-12-26",11168.99,10557.91
"1963-12-27",11188.63,10576.28
"1963-12-30",11208.27,10594.68
"1963-12-31",11278.98,10596.38
"1964-01-02",11342.19,10598.08
"1964-01-03",11354.31,10599.78
